,Unnamed: 0,Unnamed: 0.1,zipcode,maxNaics_est,totalEstab,maxNaics_emp,totalEmp,year,total_tran,pop,edut,households,income,gini,ratio_65,ratio_22_50,bus_ratio,bus_ratio_total,public_ratio,car_ratio,bicy_ratio,walked_ratio,total_college,college_ratio,college_ratio_pop,diff_MaxtotalEstab,diff_MaxtotalEmp
355,355,4663,92036,72,23,72,350,2010,3848.0,9436.0,7607.0,573.0,4400.0,1.69,0.2291225095379398,0.2879398050021195,0.0,0.0,0.0,0.8209459459459459,0.008316008316008316,0.05197505197505198,1371.0,0.1802287366898909,0.1452946163628656,-1.0,-50.0
356,356,9971,92036,72,24,72,400,2011,4067.0,9972.0,7865.0,579.0,4372.0,1.5545000000000002,0.2640393100681909,0.26073004412354595,0.0,0.0,0.0,0.8175559380378657,0.0140152446520777,0.06294566019178756,1239.0,0.1575333757151939,0.12424789410348976,-1.0,-10.0
357,357,15279,92036,72,25,72,410,2012,3712.0,10123.0,7985.0,595.0,4372.0,1.5991,0.257927491850242,0.2595080509730317,1.0,0.0013469827586206895,0.0013469827586206895,0.7863685344827587,0.016163793103448273,0.06869612068965518,1353.0,0.16944270507201,0.13365603082090288,-2.0,-60.0
358,358,20587,92036,72,27,72,470,2013,3547.0,9965.0,7708.0,600.0,4226.0,1.6127,0.27175112895132963,0.2537882589061716,1.0,0.00140964195094446,0.00140964195094446,0.7964477022836199,0.007612066535100085,0.08288694671553426,1126.0,0.14608199273482098,0.1129954841946814,3.0,30.0
359,359,25895,92036,72,24,72,440,2014,3602.0,10336.0,7928.0,638.0,4381.0,1.5555,0.2727360681114551,0.2535797213622291,1.0,0.0016657412548584118,0.0016657412548584118,0.8034425319267073,0.007773459189339256,0.07051637978900611,1149.0,0.14492936427850656,0.11116486068111456,1.0,10.0
360,360,31203,92036,72,23,72,430,2015,3860.0,11205.0,8475.0,650.0,4671.0,1.6005,0.2815707273538599,0.2562248995983936,1.0,0.0012953367875647669,0.0012953367875647669,0.7893782383419691,0.007772020725388602,0.05647668393782384,1142.0,0.13474926253687314,0.10191878625613564,0.0,-150.0
361,361,36511,92036,72,23,72,580,2016,3504.0,10675.0,8146.0,651.0,4472.0,1.6339,0.2702576112412178,0.274192037470726,1.0,0.0014269406392694065,0.0014269406392694065,0.7833904109589042,0.0,0.05821917808219178,1116.0,0.13699975448072674,0.10454332552693207,0.0,70.0
362,362,41819,92036,72,23,72,510,2017,3483.0,9823.0,7817.0,633.0,4410.0,1.6727,0.2496182428993179,0.2924768400692253,0.0,0.0,0.0,0.7901234567901234,0.0,0.05742176284811944,1057.0,0.1352181143661251,0.10760460144558688,0.0,0.0
363,363,4664,92037,54,457,54,11390,2010,26357.0,60052.0,36583.0,1726.0,23178.0,7.047999999999999,0.360404316259242,0.16740491573969227,0.97632058287796,0.06100846075046476,0.06248814356717381,0.709640702659635,0.0220055393254164,0.08529043517851045,12928.0,0.35338818576934644,0.21528009058815686,-17.0,820.0
364,364,9972,92037,54,474,62,10570,2011,25530.0,56527.0,36116.0,1781.0,22915.0,7.183,0.3647637412210094,0.18476126452845545,0.9448818897637796,0.0564042303172738,0.05969447708578144,0.7289463376419898,0.02044653349001175,0.06878182530356443,12488.0,0.34577472588326497,0.2209209758168663,7.0,490.0
365,365,15280,92037,54,467,54,10080,2012,25728.0,55539.0,36362.0,1865.0,22810.0,7.1485,0.3717927942526873,0.1861034588307316,0.9288617886178862,0.05328824626865672,0.05736940298507464,0.7356187810945274,0.026391480099502488,0.0562422263681592,12505.0,0.34390297563390354,0.22515709681485085,-2.0,-160.0
366,366,20588,92037,54,469,62,10240,2013,25392.0,53716.0,36945.0,1948.0,23047.0,7.3157999999999985,0.3893439571077519,0.1944858142825229,0.9010263929618768,0.04840107120352867,0.0537177063642092,0.7448408947700063,0.025126023944549464,0.04985822306238185,13305.0,0.3601299228583029,0.2476915630352223,-10.0,-300.0
367,367,25896,92037,54,479,62,10540,2014,25535.0,53348.0,37880.0,2077.0,23074.0,7.3281,0.4014396041088701,0.2020694309065007,0.9047619047619048,0.04315645192872528,0.04769923634227531,0.7501860191893479,0.031094576072057963,0.04683767378108478,13715.0,0.3620644139387539,0.25708555147334483,-13.0,-240.0
368,368,31204,92037,54,492,62,10780,2015,25476.0,52097.0,38094.0,2172.0,23000.0,7.3635,0.4116167917538438,0.2048870376413229,0.9390739236393176,0.04537604019469305,0.048319987439158434,0.7575757575757576,0.026260009420631183,0.04561155597425028,14280.0,0.3748621830209482,0.2741040750906962,6.0,-50.0
369,369,36512,92037,54,486,62,10830,2016,25770.0,53481.0,38658.0,2177.0,23062.0,7.3092000000000015,0.41149193171406667,0.20332454516557288,0.9606694560669456,0.04454792394256888,0.046371750097012034,0.7544043461389213,0.02483507954986418,0.047574699262708575,14518.0,0.3755496921723835,0.2714608926534657,-18.0,3030.0
370,370,41820,92037,54,504,54,7800,2017,25601.0,54514.0,39336.0,2171.0,23325.0,7.431999999999999,0.4016582896136772,0.207653079942767,0.9875444839857652,0.043357681340572635,0.04390453497910239,0.7506347408304364,0.022420999179719545,0.05132612007343463,14456.0,0.3675005084401057,0.2651795868951095,0.0,0.0
371,371,4665,92040,23,202,23,4150,2010,34972.0,74787.0,49740.0,1744.0,25907.0,4.968,0.3827670584459866,0.1165175765841657,0.7838283828382838,0.013582294406954135,0.017328148232872008,0.9198501658469632,0.0008292348164245682,0.009664874756948416,6984.0,0.14041013268998795,0.0933852140077821,-5.0,540.0
372,372,9973,92040,23,207,23,3610,2011,34196.0,75520.0,49684.0,1777.0,25820.0,5.103599999999999,0.36782309322033896,0.1189353813559322,0.7438423645320197,0.00883144227395017,0.011872733653058838,0.9290560299450228,0.0010819978944905835,0.009708737864077669,6774.0,0.13634167941389586,0.08969809322033899,-6.0,-50.0
373,373,15281,92040,23,213,23,3660,2012,34501.0,76424.0,50355.0,1803.0,25716.0,5.1187,0.3705380508740711,0.11996231550298335,0.6964705882352941,0.008579461464885077,0.012318483522216749,0.9156836033738152,0.0024636967044433496,0.00834758412799629,6977.0,0.1385562506205938,0.09129331100177956,11.0,140.0
374,374,20589,92040,23,202,23,3520,2013,33200.0,75281.0,50241.0,1843.0,25507.0,5.2376,0.360529217199559,0.13106892841487228,0.7917808219178082,0.008704819277108434,0.010993975903614455,0.9063253012048192,0.002409638554216868,0.007680722891566265,7282.0,0.14494138253617564,0.09673091483906962,-8.0,-40.0
